"","channel","attrs","choosed_sku","choosed_channel","chayi_huizong"
"400","provi_rank","mianliao","1混纺","地级",0.0476190476190476
"401","provi_rank","mianliao","1混纺","直辖",0.0555555555555556
"402","provi_rank","mianliao","1混纺","省级",0.0476190476190476
"403","provi_rank","mianliao","1混纺","镇级",0.0555555555555556
"404","provi_rank","mianliao","1毛织","县级",0.0666666666666667
"405","provi_rank","mianliao","1毛织","地级",0.111111111111111
"406","provi_rank","mianliao","1毛织","省级",0.166666666666667
"407","provi_rank","mianliao","1毛织","镇级",0.0833333333333333
"408","city_rank","mianliao","1针织","一线",0.063719106530195
"409","city_rank","mianliao","1针织","三线",0.0533948045485
"410","city_rank","mianliao","1针织","二线",0.0586971541544767
"411","city_rank","mianliao","1针织","四线",0.0463131427021006
"412","city_rank","mianliao","1针织","特一线",0.0826035361191004
"413","city_rank","mianliao","1雪纺","一线",0.0828859992677606
"414","city_rank","mianliao","1雪纺","三线",0.0257691852830127
"415","city_rank","mianliao","1雪纺","二线",0.0395114561950726
"416","city_rank","mianliao","1雪纺","四线",0.0624431081424026
"417","city_rank","mianliao","1雪纺","特一线",0.0911173690707078
"418","city_rank","mianliao","1化纤","一线",0.0775055601950315
"419","city_rank","mianliao","1化纤","三线",0.0599242700150929
"420","city_rank","mianliao","1化纤","二线",0.0703392434486456
"421","city_rank","mianliao","1化纤","四线",0.07335369709341
"422","city_rank","mianliao","1化纤","特一线",0.135398533554924
"423","city_rank","mianliao","1印花","一线",0.0796465997916409
"424","city_rank","mianliao","1印花","三线",0.0652514321335456
"425","city_rank","mianliao","1印花","二线",0.0901231187709155
"426","city_rank","mianliao","1印花","四线",0.0780935816455372
"427","city_rank","mianliao","1印花","特一线",0.132607735638522
"428","city_rank","mianliao","1牛仔","一线",0.0709944370081029
"429","city_rank","mianliao","1牛仔","三线",0.0354191675292963
