index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
拼接模式,平面,拼接,模式,SPM,0.080028145,pingmian,moshi_rank,401
拼接模式,平面,拼接,模式,特卖,0.079237573,pingmian,moshi_rank,405
拼接模式,平面,拼接,模式,商超,0.067916514,pingmian,moshi_rank,440
拼接南中北,平面,拼接,南中北,北,0.067698118,pingmian,nzb,443
拼接省市级别,平面,拼接,省市级别,地级,0.063870189,pingmian,provi_rank,455
拼接城市级别,平面,拼接,城市级别,二线,0.062781638,pingmian,city_rank,461
拼接城市级别,平面,拼接,城市级别,一线,0.061697977,pingmian,city_rank,468
拼接面积段,平面,拼接,面积段,"(200,400]",0.057910156,pingmian,area_rank,489
拼接南中北,平面,拼接,南中北,南,0.056787242,pingmian,nzb,503
拼接模式,平面,拼接,模式,NULL,0.056398718,pingmian,moshi_rank,507
拼接省市级别,平面,拼接,省市级别,县级,0.051202522,pingmian,provi_rank,529
拼接省市级别,平面,拼接,省市级别,镇级,0.049089657,pingmian,provi_rank,544
拼接模式,平面,拼接,模式,地铺,0.048781596,pingmian,moshi_rank,550
拼接城市级别,平面,拼接,城市级别,三线,0.047032746,pingmian,city_rank,555
拼接城市级别,平面,拼接,城市级别,四线,0.045345001,pingmian,city_rank,567
拼接南中北,平面,拼接,南中北,中,0.039547997,pingmian,nzb,594
拼接面积段,平面,拼接,面积段,"[0,200]",0.039249129,pingmian,area_rank,595
条纹面积段,平面,条纹,面积段,"(800,3e+03]",0.216906357,pingmian,area_rank,97
条纹城市级别,平面,条纹,城市级别,特一线,0.153547235,pingmian,city_rank,194
条纹面积段,平面,条纹,面积段,"(600,800]",0.143609458,pingmian,area_rank,209
